1	0	0	0	0	121	0.842
1	1	0	1	0	123	1.0133
2	1	1	1	0	121	0.3672
1	0	0	1	1	118	0.3663
2	0	0	1	0	113	0.6463
1	1	0	1	1	104	0.6881
2	1	0	1	1	105	4.6151
1	0	0	1	1	124	1.0097
2	0	1	1	0	121	0.6005
1	0	0	0	0	121	0
2	0	0	1	1	116	0
1	1	1	1	1	106	0.8927
2	1	1	1	1	113	1.1928
2	1	0	1	1	110	0.3187
2	0	0	1	1	101	0.955
2	1	1	1	1	115	0.8146
1	1	0	1	0	131	0.2579
2	1	1	1	0	105	1.6855
1	0	0	1	0	126	1.4366
1	0	0	1	1	121	0.8633
1	1	0	1	1	128	0.5128
1	.	1	.	.	103	2.7363
1	0	0	1	1	108	0.5161
1	0	0	0	1	121	1.1951
1	0	0	1	1	103	0.8568
2	1	0	1	1	101	0.9509
2	0	0	1	0	128	0.9365
1	0	0	0	1	108	0
1	0	0	1	1	131	0.9898
1	1	1	1	1	111	0.2235
1	0	0	1	1	101	0.4837
2	0	1	1	1	118	0.6132
2	0	0	1	0	132	0
1	0	0	1	0	108	0.5432
2	0	0	0	1	101	0.9487
2	0	0	0	1	119	1.986
1	.	0	.	.	123	1.3109
1	0	0	0	0	107	0.2155
2	0	0	1	1	115	0.7467
1	1	0	1	1	105	0.6856
1	0	0	1	0	108	0.9194
2	1	1	1	1	109	1.2573
1	1	0	1	1	116	0.5226
2	0	0	1	1	118	0.9977
2	0	1	1	1	116	0
2	1	1	1	0	123	0
2	1	0	1	1	119	0.2869
1	0	0	1	1	113	0
1	0	0	0	1	107	0.4548
2	.	0	.	.	117	0.6012
2	0	1	0	1	117	1.5643
1	.	1	0	1	125	0.4461
2	0	0	1	1	106	0.3382
2	0	1	1	0	101	0.5908
1	0	0	0	0	111	1.0304
2	0	0	0	1	124	0.5262
2	1	0	1	1	121	1.2383
1	0	0	1	0	103	0.5791
1	0	0	0	0	131	0.6689
2	0	0	1	1	123	0
2	0	0	0	1	110	0
2	0	1	1	1	101	4.9016
1	0	1	0	0	118	1.6041
1	0	0	0	0	121	0.4916
2	1	1	1	1	117	0.3373
2	1	0	1	1	129	0.482
2	0	1	1	1	118	0.5024
2	1	0	1	1	114	1.4692
2	0	0	0	0	127	0.2116
2	1	0	0	1	127	1.062
1	1	0	0	0	129	0.5884
1	1	0	1	1	119	0.3112
2	1	1	1	1	112	0.5505
1	0	0	1	1	108	1.3641
2	0	0	1	1	115	1.0373
1	.	0	.	.	123	0
2	0	0	1	0	112	1.8555
2	0	0	1	0	133	0.3408
2	0	0	1	1	104	0.4323
2	1	0	1	1	107	0.9224
2	1	0	1	1	110	0.5786
1	1	0	1	1	103	1.1928
1	0	0	1	1	133	0.8379
1	1	0	1	1	119	0
1	0	0	.	1	108	0
2	1	1	1	1	119	1.5997
2	.	0	.	.	125	0
2	1	1	1	1	128	0.3689
1	0	0	1	1	121	1.1457
1	0	0	1	0	107	0.9419
1	0	0	0	0	107	0
2	0	0	1	1	127	0
1	0	0	1	1	110	0.4571
2	0	1	0	0	122	0.5509
2	1	0	0	1	103	1.6382
2	0	0	1	1	132	2.0076
1	.	0	.	.	124	0.9799
2	1	1	1	1	101	0.7216
2	1	1	0	1	101	1.0883
1	0	0	1	1	112	0.9007
2	.	0	1	1	129	0.6549
2	0	1	0	1	125	1.165
1	0	0	1	1	131	1.0241
1	0	0	1	0	119	1.3764
1	1	1	1	1	116	0.9319
2	0	0	0	1	125	1.3433
2	0	1	0	0	130	0.5592
1	1	0	1	1	114	1.2327
2	0	0	1	1	131	0.4849
2	.	0	1	0	116	1.0485
1	0	0	0	0	116	1.4578
1	0	0	0	0	108	0.1412
1	0	0	0	0	118	0
1	0	0	1	0	126	0.9431
1	1	0	1	0	129	0
1	0	1	1	1	126	0.4955
1	0	0	1	1	125	0.2936
2	0	0	1	1	125	0.5902
1	0	0	1	1	114	0.6702
1	.	1	.	.	127	0.6246
1	0	0	0	0	127	1.3851
2	0	1	1	1	118	1.3854
2	0	0	0	1	106	1.5125
2	0	0	1	1	110	0.4169
1	0	0	0	1	118	0.312
2	0	0	0	1	101	1.6385
2	1	1	1	1	115	0.9627
2	0	0	0	0	108	1.0944
1	0	1	0	0	117	1.7961
1	1	1	1	0	123	0.4052
1	0	0	0	0	118	0.8775
2	0	0	1	1	131	0.8419
1	0	0	1	1	116	0.291
2	0	0	1	1	131	0
2	0	0	0	0	125	0.44
2	0	1	1	1	126	0.8165
1	0	0	1	1	116	0
2	.	0	1	.	119	0.3878
2	0	1	1	0	126	0.6711
2	0	0	0	0	103	1.3335
2	1	0	1	1	120	0.7486
1	0	0	1	1	108	0.3008
2	0	0	0	1	115	0.6031
2	1	1	1	1	119	0.8115
1	0	0	1	1	106	0.3478
1	0	0	0	0	110	1.2043
2	0	0	1	0	127	0.4269
1	0	0	1	1	121	0.8575
1	0	1	1	1	101	0.7
2	1	0	1	0	106	0.9713
2	0	0	1	0	114	0.947
2	0	0	0	0	113	0
2	0	0	1	1	110	1.0347
2	0	1	1	1	116	1.5397
1	.	0	1	1	123	0.9601
1	.	0	.	.	115	0.3029
2	1	1	0	1	127	0.5008
1	0	0	0	0	107	0
2	1	0	1	0	101	1.8227
1	0	0	1	0	119	0.2579
