1	.	2	2	3	3	2	0	121	0.842
1	0	2	3	0	3	2	2	123	1.0133
2	.	2	2	3	3	.	0	121	0.3672
1	1	1	2	1	1	1	2	118	0.3663
2	.	2	3	3	3	3	3	113	0.6463
1	1	2	2	3	1	2	3	104	0.6881
2	3	1	2	3	3	.	3	105	4.6151
.	2	1	3	3	3	2	1	104	0.9426
1	1	1	3	3	3	.	3	124	1.0097
2	1	0	3	0	0	1	0	121	0.6005
1	0	2	0	1	2	0	2	121	0
2	.	1	2	3	.	3	1	116	0
1	0	2	3	1	2	2	0	106	0.8927
2	1	.	2	1	0	1	3	113	1.1928
2	1	1	2	0	2	2	2	110	0.3187
2	3	0	3	.	3	3	3	101	0.955
2	1	0	1	1	1	2	2	115	0.8146
1	2	0	1	1	2	2	3	131	0.2579
2	2	0	1	2	2	2	0	105	1.6855
1	0	2	0	1	0	2	3	126	1.4366
1	0	.	3	3	3	3	2	121	0.8633
1	0	1	2	1	3	2	2	128	0.5128
1	.	.	2	.	.	3	0	103	2.7363
1	0	.	1	1	2	2	0	108	0.5161
1	3	2	2	1	3	0	0	121	1.1951
1	3	3	.	0	3	0	3	103	0.8568
.	1	2	2	1	1	1	3	120	0.2219
.	0	1	1	1	.	1	0	118	0.9554
2	2	2	3	2	2	3	3	101	0.9509
.	1	0	2	0	1	.	3	110	1.9268
2	1	0	0	1	0	.	3	128	0.9365
1	3	2	3	3	3	2	3	108	0
1	0	2	1	1	0	3	0	131	0.9898
1	3	3	0	3	3	3	2	111	0.2235
1	.	.	0	3	3	3	2	101	0.4837
2	0	1	2	0	1	1	1	118	0.6132
2	0	1	0	3	0	3	3	132	0
1	0	3	3	3	2	1	0	108	0.5432
2	0	.	1	0	.	.	0	101	0.9487
2	1	1	2	2	3	0	3	119	1.986
1	0	1	2	1	3	0	.	123	1.3109
1	0	.	1	2	1	.	0	107	0.2155
2	3	.	.	.	3	3	3	115	0.7467
1	3	3	3	3	2	2	3	105	0.6856
1	2	3	1	0	3	0	3	108	0.9194
2	1	0	0	1	0	2	2	109	1.2573
.	2	0	3	1	3	1	2	122	0.2583
1	0	1	2	0	3	1	2	116	0.5226
2	2	.	2	2	1	3	2	118	0.9977
2	.	1	.	0	.	1	.	116	0
2	.	1	1	.	.	.	2	123	0
2	1	1	0	1	2	0	3	119	0.2869
1	3	0	3	3	1	2	3	113	0
1	2	1	2	2	2	1	2	107	0.4548
2	0	1	2	0	1	2	0	117	0.6012
2	1	1	1	1	1	3	2	117	1.5643
1	1	1	0	1	1	1	3	125	0.4461
2	1	0	0	0	2	3	3	106	0.3382
2	1	0	0	1	2	2	0	101	0.5908
1	.	2	3	1	1	2	0	111	1.0304
2	1	0	1	0	1	.	3	124	0.5262
2	.	.	.	3	0	3	3	121	1.2383
1	1	1	1	3	3	3	0	103	0.5791
1	0	0	1	1	1	2	1	131	0.6689
2	.	.	3	1	0	1	2	123	0
2	0	1	3	0	.	1	2	110	0
2	2	1	3	1	3	1	3	101	4.9016
1	2	1	1	1	2	.	3	118	1.6041
1	1	2	1	1	3	3	2	121	0.4916
2	2	1	3	0	2	3	2	117	0.3373
2	1	.	3	2	1	.	0	129	0.482
2	2	2	2	.	.	1	2	118	0.5024
2	1	2	2	0	1	2	0	114	1.4692
2	2	1	2	.	1	1	0	127	0.2116
2	1	1	2	.	.	1	2	127	1.062
1	.	3	2	2	3	2	1	129	0.5884
1	3	1	3	3	.	.	0	119	0.3112
2	1	0	2	1	2	2	0	112	0.5505
1	1	1	2	2	2	3	2	108	1.3641
2	2	1	0	1	1	1	0	115	1.0373
1	1	0	2	0	2	0	0	123	0
.	0	1	3	3	3	2	0	127	0.2805
2	1	0	2	1	.	2	3	112	1.8555
2	3	3	3	3	3	3	3	133	0.3408
2	1	1	0	1	0	.	.	104	0.4323
2	1	2	1	1	1	2	0	107	0.9224
2	1	1	2	0	1	1	2	110	0.5786
1	1	0	1	0	1	0	2	103	1.1928
1	2	3	3	1	1	0	2	133	0.8379
1	2	2	3	3	3	0	2	119	0
1	1	0	1	2	2	1	3	108	0
2	1	3	2	1	2	1	3	119	1.5997
2	.	0	1	1	1	0	3	125	0
2	2	0	3	1	.	3	3	128	0.3689
1	1	2	1	2	1	2	3	121	1.1457
1	1	0	0	1	0	1	0	107	0.9419
1	0	0	3	2	.	2	0	107	0
2	3	0	0	0	3	3	3	127	0
.	1	0	.	.	3	2	3	112	0.2999
1	0	.	2	0	2	.	2	110	0.4571
2	1	1	0	1	1	2	0	122	0.5509
2	0	1	1	0	0	2	3	103	1.6382
.	1	1	1	0	1	1	3	125	1.418
2	3	1	3	3	3	3	2	132	2.0076
1	.	.	3	.	3	3	2	124	0.9799
2	.	.	.	.	.	.	2	101	0.7216
2	1	0	2	1	1	1	1	101	1.0883
1	0	1	1	0	0	.	2	112	0.9007
2	0	0	1	0	3	2	2	129	0.6549
2	0	0	0	0	0	0	2	125	1.165
1	.	.	2	2	3	0	0	131	1.0241
1	0	3	1	0	2	1	0	119	1.3764
1	0	0	1	1	1	0	0	116	0.9319
2	0	2	0	0	.	1	0	125	1.3433
2	.	2	2	.	.	.	2	130	0.5592
.	.	3	0	.	3	2	3	103	1.8694
1	.	0	3	3	1	1	2	114	1.2327
2	2	0	1	1	0	2	0	131	0.4849
2	0	.	.	.	0	.	2	116	1.0485
1	1	1	1	3	3	0	3	116	1.4578
1	1	1	0	0	3	.	3	108	0.1412
1	2	3	3	3	3	3	3	118	0
1	0	1	1	1	1	0	2	126	0.9431
1	2	1	0	.	0	0	2	129	0
1	2	0	2	3	3	1	1	126	0.4955
1	0	1	1	2	0	2	0	125	0.2936
2	2	3	3	1	1	3	1	125	0.5902
1	1	0	0	1	1	1	0	114	0.6702
1	0	0	2	2	1	0	0	127	0.6246
1	0	0	1	1	3	1	3	127	1.3851
2	2	2	2	0	3	1	2	118	1.3854
2	1	2	0	0	1	0	0	106	1.5125
2	0	1	0	1	0	0	2	110	0.4169
1	1	3	0	3	3	0	3	118	0.312
2	1	2	3	1	1	3	2	101	1.6385
2	0	0	0	0	0	1	3	115	0.9627
2	3	3	3	2	1	3	1	108	1.0944
1	0	1	.	1	.	.	2	117	1.7961
1	2	3	1	1	0	2	0	123	0.4052
1	3	3	2	1	3	3	3	118	0.8775
2	0	2	3	0	0	3	0	131	0.8419
1	0	1	1	0	0	2	.	116	0.291
2	2	2	3	3	.	2	3	131	0
.	.	.	.	.	1	.	3	107	0.2055
2	1	1	.	2	3	.	2	125	0.44
2	1	1	2	0	3	2	3	126	0.8165
1	.	1	.	3	3	.	3	116	0
.	0	1	2	1	1	3	2	104	0
2	.	1	0	1	0	3	2	119	0.3878
2	2	3	3	0	3	0	3	126	0.6711
