         *      2.000      2.000      3.000      3.000          *      0.000      1.880      0.381      0.421 1 121
         *      2.000      3.000      3.000      3.000      3.000      3.000      2.235      0.368      0.741 1 113
     3.000      1.000      2.000      3.000      3.000          *      3.000      2.129      0.347      5.293 1 105
     1.000      0.000      3.000      0.000      0.000      1.000      0.000      0.700      0.337      0.689 1 121
         *      1.000      2.000      3.000          *      3.000      1.000      1.762      0.400      0.000 1 116
     1.000          *      2.000      1.000      0.000      1.000      3.000      0.961      0.345      1.368 1 113
     1.000      1.000      2.000      0.000      2.000      2.000      2.000      1.085      0.337      0.365 1 110
     3.000      0.000      3.000          *      3.000      3.000      3.000      2.069      0.371      1.095 1 101
     1.000      0.000      1.000      1.000      1.000      2.000      2.000      0.935      0.337      0.934 1 115
     2.000      0.000      1.000      2.000      2.000      2.000      0.000      1.304      0.337      1.933 1 105
     2.000      2.000      3.000      2.000      2.000      3.000      3.000      1.900      0.337      1.090 1 101
     1.000      0.000      0.000      1.000      0.000          *      3.000      0.703      0.347      1.074 1 128
     0.000      1.000      2.000      0.000      1.000      1.000      1.000      0.668      0.337      0.703 1 118
     0.000      1.000      0.000      3.000      0.000      3.000      3.000      1.070      0.337      0.000 1 132
     0.000          *      1.000      0.000          *          *      0.000      0.497      0.385      1.088 1 101
     1.000      1.000      2.000      2.000      3.000      0.000      3.000      1.422      0.337      2.278 1 119
     3.000          *          *          *      3.000      3.000      3.000      2.176      0.413      0.856 1 115
     1.000      0.000      0.000      1.000      0.000      2.000      2.000      0.695      0.337      1.442 1 109
     2.000          *      2.000      2.000      1.000      3.000      2.000      1.569      0.345      1.144 1 118
         *      1.000          *      0.000          *      1.000          *      0.687      0.445      0.000 1 116
         *      1.000      1.000          *          *          *      2.000      1.088      0.490      0.000 1 123
     1.000      1.000      0.000      1.000      2.000      0.000      3.000      0.899      0.337      0.329 1 119
     0.000      1.000      2.000      0.000      1.000      2.000      0.000      0.708      0.337      0.689 1 117
     1.000      1.000      1.000      1.000      1.000      3.000      2.000      1.095      0.337      1.794 1 117
     1.000      0.000      0.000      0.000      2.000      3.000      3.000      0.907      0.337      0.388 1 106
     1.000      0.000      0.000      1.000      2.000      2.000      0.000      0.859      0.337      0.678 1 101
     1.000      0.000      1.000      0.000      1.000          *      3.000      0.781      0.347      0.603 1 124
         *          *          *      3.000      0.000      3.000      3.000      1.599      0.409      1.420 1 121
         *          *      3.000      1.000      0.000      1.000      2.000      1.047      0.379      0.000 1 123
     0.000      1.000      3.000      0.000          *      1.000      2.000      0.842      0.361      0.000 1 110
     2.000      1.000      3.000      1.000      3.000      1.000      3.000      1.616      0.337      5.621 1 101
     2.000      1.000      3.000      0.000      2.000      3.000      2.000      1.445      0.337      0.387 1 117
     1.000          *      3.000      2.000      1.000          *      0.000      1.341      0.356      0.553 1 129
     2.000      2.000      2.000          *          *      1.000      2.000      1.470      0.405      0.576 1 118
     1.000      2.000      2.000      0.000      1.000      2.000      0.000      0.947      0.337      1.685 1 114
     2.000      1.000      2.000          *      1.000      1.000      0.000      1.154      0.371      0.243 1 127
     1.000      1.000      2.000          *          *      1.000      2.000      1.127      0.405      1.218 1 127
     1.000      0.000      2.000      1.000      2.000      2.000      0.000      1.089      0.337      0.631 1 112
     2.000      1.000      0.000      1.000      1.000      1.000      0.000      0.888      0.337      1.190 1 115
     1.000      0.000      2.000      1.000          *      2.000      3.000      1.149      0.361      2.128 1 112
     3.000      3.000      3.000      3.000      3.000      3.000      3.000      2.432      0.337      0.391 1 133
