         *      2.000      2.000      3.000      3.000          *      0.000      1.862      0.378      0.421 1 121
         *      2.000      3.000      3.000      3.000      3.000      3.000      2.214      0.365      0.741 1 113
     3.000      1.000      2.000      3.000      3.000          *      3.000      2.106      0.344      5.293 1 105
     1.000      0.000      3.000      0.000      0.000      1.000      0.000      0.692      0.334      0.689 1 121
         *      1.000      2.000      3.000          *      3.000      1.000      1.737      0.396      0.000 1 116
     1.000          *      2.000      1.000      0.000      1.000      3.000      0.959      0.343      1.368 1 113
     1.000      1.000      2.000      0.000      2.000      2.000      2.000      1.075      0.334      0.365 1 110
     3.000      0.000      3.000          *      3.000      3.000      3.000      2.040      0.369      1.095 1 101
     1.000      0.000      1.000      1.000      1.000      2.000      2.000      0.924      0.334      0.934 1 115
     2.000      0.000      1.000      2.000      2.000      2.000      0.000      1.286      0.334      1.933 1 105
     2.000      2.000      3.000      2.000      2.000      3.000      3.000      1.887      0.334      1.090 1 101
     1.000      0.000      0.000      1.000      0.000          *      3.000      0.695      0.344      1.074 1 128
     0.000      1.000      2.000      0.000      1.000      1.000      1.000      0.665      0.334      0.703 1 118
     0.000      1.000      0.000      3.000      0.000      3.000      3.000      1.066      0.334      0.000 1 132
     0.000          *      1.000      0.000          *          *      0.000      0.496      0.383      1.088 1 101
     1.000      1.000      2.000      2.000      3.000      0.000      3.000      1.408      0.334      2.278 1 119
     3.000          *          *          *      3.000      3.000      3.000      2.165      0.411      0.856 1 115
     1.000      0.000      0.000      1.000      0.000      2.000      2.000      0.687      0.334      1.442 1 109
     2.000          *      2.000      2.000      1.000      3.000      2.000      1.563      0.343      1.144 1 118
         *      1.000          *      0.000          *      1.000          *      0.678      0.440      0.000 1 116
         *      1.000      1.000          *          *          *      2.000      1.072      0.483      0.000 1 123
     1.000      1.000      0.000      1.000      2.000      0.000      3.000      0.891      0.334      0.329 1 119
     0.000      1.000      2.000      0.000      1.000      2.000      0.000      0.705      0.334      0.689 1 117
     1.000      1.000      1.000      1.000      1.000      3.000      2.000      1.087      0.334      1.794 1 117
     1.000      0.000      0.000      0.000      2.000      3.000      3.000      0.895      0.334      0.388 1 106
     1.000      0.000      0.000      1.000      2.000      2.000      0.000      0.847      0.334      0.678 1 101
     1.000      0.000      1.000      0.000      1.000          *      3.000      0.771      0.344      0.603 1 124
         *          *          *      3.000      0.000      3.000      3.000      1.595      0.406      1.420 1 121
         *          *      3.000      1.000      0.000      1.000      2.000      1.043      0.376      0.000 1 123
     0.000      1.000      3.000      0.000          *      1.000      2.000      0.836      0.358      0.000 1 110
     2.000      1.000      3.000      1.000      3.000      1.000      3.000      1.598      0.334      5.621 1 101
     2.000      1.000      3.000      0.000      2.000      3.000      2.000      1.432      0.334      0.387 1 117
     1.000          *      3.000      2.000      1.000          *      0.000      1.337      0.354      0.553 1 129
     2.000      2.000      2.000          *          *      1.000      2.000      1.457      0.401      0.576 1 118
     1.000      2.000      2.000      0.000      1.000      2.000      0.000      0.944      0.334      1.685 1 114
     2.000      1.000      2.000          *      1.000      1.000      0.000      1.143      0.369      0.243 1 127
     1.000      1.000      2.000          *          *      1.000      2.000      1.114      0.401      1.218 1 127
     1.000      0.000      2.000      1.000      2.000      2.000      0.000      1.075      0.334      0.631 1 112
     2.000      1.000      0.000      1.000      1.000      1.000      0.000      0.879      0.334      1.190 1 115
     1.000      0.000      2.000      1.000          *      2.000      3.000      1.133      0.358      2.128 1 112
     3.000      3.000      3.000      3.000      3.000      3.000      3.000      2.416      0.334      0.391 1 133
     1.000      1.000      0.000      1.000      0.000          *          *      0.691      0.349      0.496 1 104
     1.000      2.000      1.000      1.000      1.000      2.000      0.000      0.996      0.334      1.058 1 107
     1.000      1.000      2.000      0.000      1.000      1.000      2.000      0.868      0.334      0.664 1 110
     1.000      3.000      2.000      1.000      2.000      1.000      3.000      1.361      0.334      1.835 1 119
         *      0.000      1.000      1.000      1.000      0.000      3.000      0.767      0.365      0.000 1 125
     2.000      0.000      3.000      1.000          *      3.000      3.000      1.541      0.358      0.423 1 128
     3.000      0.000      0.000      0.000      3.000      3.000      3.000      1.337      0.334      0.000 1 127
     1.000      1.000      0.000      1.000      1.000      2.000      0.000      0.803      0.334      0.632 1 122
     0.000      1.000      1.000      0.000      0.000      2.000      3.000      0.598      0.334      1.879 1 103
     3.000      1.000      3.000      3.000      3.000      3.000      2.000      2.213      0.334      2.302 1 132
         *          *          *          *          *          *      2.000      1.302      0.594      0.828 1 101
     1.000      0.000      2.000      1.000      1.000      1.000      1.000      0.911      0.334      1.248 1 101
     0.000      0.000      1.000      0.000      3.000      2.000      2.000      0.846      0.334      0.751 1 129
     0.000      0.000      0.000      0.000      0.000      0.000      2.000      0.195      0.334      1.336 1 125
     0.000      2.000      0.000      0.000          *      1.000      0.000      0.437      0.358      1.540 1 125
