2	1	2	2	2	1	2	2	1	3	1	3	3	0	0	0	1	2	2	2	2	4	2	0.4548	107
0	1	2	0	1	2	0	1	0	1	1	1	1	.	0	.	.	2	1	4	5	5	0	0.6012	117
1	1	1	1	1	3	2	1	1	1	3	1	0	0	1	0	1	2	2	3	2	3	2	1.5643	117
1	1	0	1	1	1	3	3	4	1	1	0	1	.	1	0	1	0	2	5	5	2	3	0.4461	125
1	0	0	0	2	3	3	4	4	4	3	4	0	0	0	1	1	2	2	1	2	4	4	0.3382	106
1	0	0	1	2	2	0	0	2	2	2	3	0	0	1	1	0	1	3	3	3	2	2	0.5908	101
.	2	3	1	1	2	0	2	3	3	4	3	3	0	0	0	0	1	1	1	1	2	2	1.0304	111
1	0	1	0	1	.	3	3	1	1	3	2	2	0	0	0	1	2	2	3	3	4	2	0.5262	124
.	.	.	3	0	3	3	3	3	3	3	3	3	1	0	1	1	2	3	2	2	3	1	1.2383	121
1	1	1	3	3	3	0	2	2	2	2	2	2	0	0	1	0	0	0	3	3	4	2	0.5791	103
0	0	1	1	1	2	1	3	1	2	3	1	0	0	0	0	0	1	1	4	4	3	1	0.6689	131
.	.	3	1	0	1	2	.	.	.	.	.	.	0	0	1	1	.	.	.	.	.	.	0	123
0	1	3	0	.	1	2	.	.	.	.	.	.	0	0	0	1	.	.	.	.	.	.	0	110
2	1	3	1	3	1	3	0	0	1	3	1	0	0	1	1	1	3	3	3	2	5	3	4.9016	101
2	1	1	1	2	.	3	3	2	2	3	3	2	0	1	0	0	0	0	2	2	2	0	1.6041	118
1	2	1	1	3	3	2	2	1	2	1	3	2	0	0	0	0	2	2	4	4	4	1	0.4916	121
2	1	3	0	2	3	2	0	1	1	1	3	0	1	1	1	1	3	3	3	4	4	3	0.3373	117
1	.	3	2	1	.	0	2	3	4	3	4	1	1	0	1	1	1	1	2	2	2	0	0.482	129
2	2	2	.	.	1	2	3	3	0	3	3	0	0	1	1	1	2	2	2	2	4	1	0.5024	118
1	2	2	0	1	2	0	0	3	3	0	3	2	1	0	1	1	3	3	2	5	4	2	1.4692	114
2	1	2	.	1	1	0	3	1	1	1	3	0	0	0	0	0	2	2	1	4	2	2	0.2116	127
1	1	2	.	.	1	2	3	2	3	3	3	0	1	0	0	1	1	1	2	2	2	0	1.062	127
.	3	2	2	3	2	1	3	2	1	3	2	1	1	0	0	0	2	2	4	4	4	2	0.5884	129
3	1	3	3	.	.	0	3	3	3	4	3	2	1	0	1	1	3	3	2	2	4	2	0.3112	119
1	0	2	1	2	2	0	1	1	1	4	2	0	1	1	1	1	2	2	3	3	4	2	0.5505	112
1	1	2	2	2	3	2	2	2	1	3	3	3	0	0	1	1	0	1	3	3	4	0	1.3641	108
2	1	0	1	1	1	0	1	2	4	3	4	3	0	0	1	1	0	3	1	2	3	2	1.0373	115
1	0	2	0	2	0	0	.	.	.	.	.	.	.	0	.	.	.	.	.	.	.	.	0	123
0	1	3	3	3	2	0	.	1	1	3	2	1	0	0	0	0	2	3	4	5	4	1	0.2805	127
1	0	2	1	.	2	3	3	1	1	0	3	1	0	0	1	0	2	3	3	4	1	3	1.8555	112
3	3	3	3	3	3	3	4	4	2	4	4	4	0	0	1	0	3	3	1	1	5	3	0.3408	133
1	1	0	1	0	.	.	1	3	4	4	3	0	0	0	1	1	3	2	2	4	4	2	0.4323	104
1	2	1	1	1	2	0	1	3	2	2	3	1	1	0	1	1	2	1	2	2	4	2	0.9224	107
1	1	2	0	1	1	2	1	3	3	1	2	0	1	0	1	1	2	2	2	4	3	2	0.5786	110
1	0	1	0	1	0	2	1	3	3	3	3	1	1	0	1	1	3	3	1	1	4	3	1.1928	103
2	3	3	1	1	0	2	3	3	4	3	3	1	0	0	1	1	2	3	2	3	2	2	0.8379	133
2	2	3	3	3	0	2	.	.	.	.	.	.	1	0	1	1	.	.	.	.	.	.	0	119
1	0	1	2	2	1	3	.	.	.	.	.	.	0	0	.	1	.	.	.	.	.	.	0	108
1	3	2	1	2	1	3	1	3	4	4	4	0	1	1	1	1	0	1	2	1	2	1	1.5997	119
.	0	1	1	1	0	3	.	.	.	.	.	.	.	0	.	.	.	.	.	.	.	.	0	125
2	0	3	1	.	3	3	0	0	2	3	1	2	1	1	1	1	2	2	4	2	4	2	0.3689	128
