2	.	2	2	3	3	2	0	121	0.842
2	0	2	3	0	3	2	2	123	1.0133
1	.	2	2	3	3	.	0	121	0.3672
2	1	1	2	1	1	1	2	118	0.3663
1	.	2	3	3	3	3	3	113	0.6463
2	1	2	2	3	1	2	3	104	0.6881
1	3	1	2	3	3	.	3	105	4.6151
2	1	1	3	3	3	.	3	124	1.0097
1	1	0	3	0	0	1	0	121	0.6005
2	0	2	0	1	2	0	2	121	0
1	.	1	2	3	.	3	1	116	0
2	0	2	3	1	2	2	0	106	0.8927
1	1	.	2	1	0	1	3	113	1.1928
1	1	1	2	0	2	2	2	110	0.3187
1	3	0	3	.	3	3	3	101	0.955
1	1	0	1	1	1	2	2	115	0.8146
2	2	0	1	1	2	2	3	131	0.2579
1	2	0	1	2	2	2	0	105	1.6855
2	0	2	0	1	0	2	3	126	1.4366
2	0	.	3	3	3	3	2	121	0.8633
2	0	1	2	1	3	2	2	128	0.5128
2	.	.	2	.	.	3	0	103	2.7363
2	0	.	1	1	2	2	0	108	0.5161
2	3	2	2	1	3	0	0	121	1.1951
2	3	3	.	0	3	0	3	103	0.8568
1	2	2	3	2	2	3	3	101	0.9509
1	1	0	0	1	0	.	3	128	0.9365
2	3	2	3	3	3	2	3	108	0
2	0	2	1	1	0	3	0	131	0.9898
2	3	3	0	3	3	3	2	111	0.2235
2	.	.	0	3	3	3	2	101	0.4837
1	0	1	2	0	1	1	1	118	0.6132
1	0	1	0	3	0	3	3	132	0
2	0	3	3	3	2	1	0	108	0.5432
1	0	.	1	0	.	.	0	101	0.9487
1	1	1	2	2	3	0	3	119	1.986
2	0	1	2	1	3	0	.	123	1.3109
2	0	.	1	2	1	.	0	107	0.2155
1	3	.	.	.	3	3	3	115	0.7467
2	3	3	3	3	2	2	3	105	0.6856
2	2	3	1	0	3	0	3	108	0.9194
1	1	0	0	1	0	2	2	109	1.2573
2	0	1	2	0	3	1	2	116	0.5226
1	2	.	2	2	1	3	2	118	0.9977
1	.	1	.	0	.	1	.	116	0
1	.	1	1	.	.	.	2	123	0
1	1	1	0	1	2	0	3	119	0.2869
2	3	0	3	3	1	2	3	113	0
2	2	1	2	2	2	1	2	107	0.4548
1	0	1	2	0	1	2	0	117	0.6012
1	1	1	1	1	1	3	2	117	1.5643
2	1	1	0	1	1	1	3	125	0.4461
1	1	0	0	0	2	3	3	106	0.3382
1	1	0	0	1	2	2	0	101	0.5908
2	.	2	3	1	1	2	0	111	1.0304
1	1	0	1	0	1	.	3	124	0.5262
1	.	.	.	3	0	3	3	121	1.2383
2	1	1	1	3	3	3	0	103	0.5791
2	0	0	1	1	1	2	1	131	0.6689
1	.	.	3	1	0	1	2	123	0
1	0	1	3	0	.	1	2	110	0
1	2	1	3	1	3	1	3	101	4.9016
2	2	1	1	1	2	.	3	118	1.6041
2	1	2	1	1	3	3	2	121	0.4916
1	2	1	3	0	2	3	2	117	0.3373
1	1	.	3	2	1	.	0	129	0.482
1	2	2	2	.	.	1	2	118	0.5024
1	1	2	2	0	1	2	0	114	1.4692
1	2	1	2	.	1	1	0	127	0.2116
1	1	1	2	.	.	1	2	127	1.062
2	.	3	2	2	3	2	1	129	0.5884
2	3	1	3	3	.	.	0	119	0.3112
1	1	0	2	1	2	2	0	112	0.5505
2	1	1	2	2	2	3	2	108	1.3641
1	2	1	0	1	1	1	0	115	1.0373
2	1	0	2	0	2	0	0	123	0
1	1	0	2	1	.	2	3	112	1.8555
1	3	3	3	3	3	3	3	133	0.3408
1	1	1	0	1	0	.	.	104	0.4323
1	1	2	1	1	1	2	0	107	0.9224
1	1	1	2	0	1	1	2	110	0.5786
2	1	0	1	0	1	0	2	103	1.1928
2	2	3	3	1	1	0	2	133	0.8379
2	2	2	3	3	3	0	2	119	0
2	1	0	1	2	2	1	3	108	0
1	1	3	2	1	2	1	3	119	1.5997
1	.	0	1	1	1	0	3	125	0
1	2	0	3	1	.	3	3	128	0.3689
2	1	2	1	2	1	2	3	121	1.1457
2	1	0	0	1	0	1	0	107	0.9419
2	0	0	3	2	.	2	0	107	0
1	3	0	0	0	3	3	3	127	0
2	0	.	2	0	2	.	2	110	0.4571
1	1	1	0	1	1	2	0	122	0.5509
1	0	1	1	0	0	2	3	103	1.6382
1	3	1	3	3	3	3	2	132	2.0076
2	.	.	3	.	3	3	2	124	0.9799
1	.	.	.	.	.	.	2	101	0.7216
1	1	0	2	1	1	1	1	101	1.0883
2	0	1	1	0	0	.	2	112	0.9007
1	0	0	1	0	3	2	2	129	0.6549
1	0	0	0	0	0	0	2	125	1.165
2	.	.	2	2	3	0	0	131	1.0241
2	0	3	1	0	2	1	0	119	1.3764
2	0	0	1	1	1	0	0	116	0.9319
1	0	2	0	0	.	1	0	125	1.3433
1	.	2	2	.	.	.	2	130	0.5592
2	.	0	3	3	1	1	2	114	1.2327
1	2	0	1	1	0	2	0	131	0.4849
1	0	.	.	.	0	.	2	116	1.0485
2	1	1	1	3	3	0	3	116	1.4578
2	1	1	0	0	3	.	3	108	0.1412
2	2	3	3	3	3	3	3	118	0
2	0	1	1	1	1	0	2	126	0.9431
2	2	1	0	.	0	0	2	129	0
2	2	0	2	3	3	1	1	126	0.4955
2	0	1	1	2	0	2	0	125	0.2936
1	2	3	3	1	1	3	1	125	0.5902
2	1	0	0	1	1	1	0	114	0.6702
2	0	0	2	2	1	0	0	127	0.6246
2	0	0	1	1	3	1	3	127	1.3851
1	2	2	2	0	3	1	2	118	1.3854
1	1	2	0	0	1	0	0	106	1.5125
1	0	1	0	1	0	0	2	110	0.4169
2	1	3	0	3	3	0	3	118	0.312
1	1	2	3	1	1	3	2	101	1.6385
1	0	0	0	0	0	1	3	115	0.9627
1	3	3	3	2	1	3	1	108	1.0944
2	0	1	.	1	.	.	2	117	1.7961
2	2	3	1	1	0	2	0	123	0.4052
2	3	3	2	1	3	3	3	118	0.8775
1	0	2	3	0	0	3	0	131	0.8419
2	0	1	1	0	0	2	.	116	0.291
1	2	2	3	3	.	2	3	131	0
1	1	1	.	2	3	.	2	125	0.44
1	1	1	2	0	3	2	3	126	0.8165
2	.	1	.	3	3	.	3	116	0
1	.	1	0	1	0	3	2	119	0.3878
1	2	3	3	0	3	0	3	126	0.6711
1	0	0	3	0	.	.	1	103	1.3335
1	2	2	2	0	1	2	3	120	0.7486
2	2	2	2	.	1	2	2	108	0.3008
1	0	3	1	0	0	3	3	115	0.6031
1	0	0	1	0	1	2	0	119	0.8115
2	0	2	0	1	2	0	3	106	0.3478
2	0	0	2	2	2	2	0	110	1.2043
1	2	2	0	2	3	0	3	127	0.4269
2	1	1	3	2	1	0	2	121	0.8575
2	1	1	1	2	2	1	3	101	0.7
1	1	0	1	1	2	1	2	106	0.9713
1	2	1	3	3	3	3	3	114	0.947
1	3	3	.	.	.	1	1	113	0
1	1	1	2	3	2	2	2	110	1.0347
1	0	1	1	0	1	1	3	116	1.5397
2	0	1	1	1	1	0	3	123	0.9601
2	1	1	2	0	2	2	3	115	0.3029
1	1	0	1	1	2	1	1	127	0.5008
2	2	3	3	2	2	3	3	107	0
1	.	.	0	0	.	.	2	101	1.8227
2	0	1	2	1	1	0	3	119	0.2579
2	2	0	1	1	3	3	0	131	0.666
2	1	2	0	1	0	1	0	129	0.5224
1	2	0	2	1	1	3	2	105	1.3356
1	.	2	2	2	3	3	0	122	0.4238
2	2	2	2	2	2	2	3	121	0.2316
