.	2	2	3	3	2	0	41.3248026513739	0	0	0	0	1	1	3	3	3	3	9	13	29	1	0	0	0	0	0	0	8	95	0	1	2	2	4	2	4	2	0.842	121
0	2	3	0	3	2	2	41.3002685303619	1	0	1	0	2	2	2	4	1	0	13	17	26	0	0	0	0	0	0	0	4	1	1	0	3	2	3	4	4	2	1.0133	123
.	2	2	3	3	.	0	5.72659032933211	1	1	1	0	4	4	3	2	4	4	9	6	23	0	0	0	0	0	0	0	3	95	0	0	1	2	1	2	2	1	0.3672	121
1	1	2	1	1	1	2	32.4013960530034	0	0	1	1	2	1	1	1	1	3	9	20	58	1	0	0	0	0	0	0	4	95	0	0	2	2	2	4	2	2	0.3663	118
.	2	3	3	3	3	3	13.891449036814	0	0	1	0	2	1	1	1	2	2	9	3	38	1	1	0	0	0	0	0	.	0	0	0	1	1	2	2	4	1	0.6463	113
1	2	2	3	1	2	3	24.8254172524854	1	0	1	1	2	3	2	.	3	2	14	1	60	1	0	0	0	0	0	0	7	2	0	0	3	3	1	3	5	4	0.6881	104
3	1	2	3	3	.	3	41.3307666115692	1	0	1	1	2	3	2	3	3	2	5	22	58	1	0	1	0	0	0	0	3	95	0	1	1	1	3	3	3	2	4.6151	105
2	1	3	3	3	2	1	34.5264143171949	0	0	1	0	1	1	1	2	1	3	9	28	56	1	1	0	0	0	0	0	7	1	.	.	2	2	2	4	4	1	0.9426	104
1	1	3	3	3	.	3	22.0097152875724	0	0	1	1	3	1	3	4	3	4	9	12	45	0	0	0	0	0	1	0	8	0	0	0	2	2	2	2	4	2	1.0097	124
1	0	3	0	0	1	0	5.48053750488946	0	1	1	0	1	2	2	3	2	3	10	19	30	1	1	0	0	0	0	0	.	1	0	0	2	1	2	4	3	2	0.6005	121
0	2	0	1	2	0	2	24.3087074419847	0	0	0	0	.	.	.	.	.	.	7	11	40	1	1	0	0	0	0	0	.	95	0	0	.	.	.	.	.	.	0	121
.	1	2	3	.	3	1	41.2904947244823	0	0	1	1	.	.	.	.	.	.	10	14	86	1	1	0	0	0	0	0	.	2	0	0	.	.	.	.	.	.	0	116
0	2	3	1	2	2	0	8.01664592946452	1	1	1	1	0	1	3	2	3	0	13	24	30	1	0	0	0	1	0	0	2	0	0	0	3	3	4	4	4	2	0.8927	106
1	.	2	1	0	1	3	41.5335892268342	1	1	1	1	4	3	4	2	3	4	12	14	67	1	0	0	0	0	0	1	6	95	1	0	2	3	1	2	2	4	1.1928	113
1	1	2	0	2	2	2	41.2783985202769	1	0	1	1	0	1	1	3	1	1	14	10	62	1	1	0	0	0	0	0	7	2	0	1	3	3	4	4	4	3	0.3187	110
3	0	3	.	3	3	3	5.72659032933211	0	0	1	1	3	0	0	1	1	4	9	3	51	1	0	0	0	0	0	0	4	95	0	1	1	0	3	4	2	0	0.955	101
1	0	1	1	1	2	2	41.427324992087	1	1	1	1	1	1	0	0	3	0	14	27	46	0	0	0	0	1	0	0	6	2	0	1	3	3	4	4	4	3	0.8146	115
2	0	1	1	2	2	3	29.3444315477162	1	0	1	0	2	3	4	4	3	1	13	16	70	0	0	0	0	0	0	0	5	2	0	1	2	2	2	2	3	3	0.2579	131
2	0	1	2	2	2	0	41.2751604554313	1	1	1	0	1	3	2	3	3	1	14	26	30	0	1	0	0	0	0	0	8	1	0	1	2	3	3	4	4	2	1.6855	105
0	2	0	1	0	2	3	9.7859996193133	0	0	1	0	3	4	1	4	4	1	10	22	67	1	1	0	0	0	0	1	8	95	1	0	1	1	2	2	2	3	1.4366	126
0	.	3	3	3	3	2	41.3248026513739	0	0	1	1	3	2	1	1	3	2	9	20	66	1	1	0	0	0	0	0	0	1	1	0	2	2	2	2	2	2	0.8633	121
0	1	2	1	3	2	2	38.8876571011111	1	0	1	1	1	1	2	1	3	2	12	3	32	0	1	0	0	0	0	0	5	1	1	0	2	2	4	4	3	2	0.5128	128
.	.	2	.	.	3	0	29.3369272418312	.	1	.	.	3	3	3	1	2	2	10	.	56	0	1	0	0	0	0	0	.	95	0	0	2	1	2	3	2	1	2.7363	103
0	.	1	1	2	2	0	14.7125961387683	0	0	1	1	1	2	1	3	2	3	14	15	65	1	1	0	0	0	0	0	4	2	0	0	1	1	2	4	2	2	0.5161	108
3	2	2	1	3	0	0	29.1704489303816	0	0	0	1	3	3	2	3	3	1	8	13	61	1	0	0	0	0	1	0	7	3	0	0	2	2	2	2	2	2	1.1951	121
3	3	.	0	3	0	3	34.1343705821566	0	0	1	1	2	3	1	1	3	4	7	9	34	0	0	0	0	0	1	0	.	95	0	0	0	1	1	1	1	1	0.8568	103
1	2	2	1	1	1	3	12.8584870287915	0	0	0	1	1	2	0	1	1	3	13	.	68	1	.	0	0	0	0	0	.	2	.	.	1	1	4	4	4	3	0.2219	120
0	1	1	1	.	1	0	17.1523878014341	0	0	1	1	2	3	3	3	3	1	9	17	25	1	1	0	0	0	0	0	2	95	.	.	2	2	2	2	4	2	0.9554	118
2	2	3	2	2	3	3	41.2751604554313	1	0	1	1	0	3	3	2	3	0	14	17	73	1	0	0	0	0	0	0	8	2	0	0	3	3	3	2	4	3	0.9509	101
1	0	2	0	1	.	3	2.0242889103337	0	0	0	0	3	3	3	3	3	3	9	22	67	1	1	0	0	0	0	0	0	0	.	.	2	2	4	4	3	2	1.9268	110
1	0	0	1	0	.	3	10.0918122653961	0	0	1	0	1	1	3	1	1	3	14	22	35	0	1	0	0	0	0	0	10	2	1	0	2	1	2	2	3	1	0.9365	128
3	2	3	3	3	2	3	41.9279023364215	0	0	0	1	.	.	.	.	.	.	13	24	64	1	0	0	0	0	0	0	.	2	0	1	.	.	.	.	.	.	0	108
0	2	1	1	0	3	0	49.3188521677056	0	0	1	1	2	3	1	1	1	3	10	.	73	1	1	0	0	0	0	0	9	2	0	1	2	1	1	1	2	1	0.9898	131
3	3	0	3	3	3	2	49.0345192429415	1	1	1	1	0	1	0	0	0	0	13	17	69	1	0	0	0	0	0	0	7	3	0	0	3	3	1	1	5	4	0.2235	111
.	.	0	3	3	3	2	2.21406666566298	0	0	1	1	4	3	1	3	3	.	13	11	41	1	1	0	0	0	0	0	0	0	1	0	0	0	2	2	2	1	0.4837	101
0	1	2	0	1	1	1	26.7238081517829	0	1	1	1	0	3	3	1	3	1	16	6	67	1	0	0	0	0	0	0	4	2	1	0	2	3	1	2	4	1	0.6132	118
0	1	0	3	0	3	3	9.96593866941293	0	0	1	0	.	.	.	.	.	.	9	7	59	1	1	0	0	0	0	0	.	95	0	0	.	.	.	.	.	.	0	132
0	3	3	3	2	1	0	41.5319932249633	0	0	1	0	1	1	1	3	3	3	11	21	54	1	0	0	0	0	0	0	5	0	0	1	3	3	1	1	3	1	0.5432	108
0	.	1	0	.	.	0	8.90656477970043	0	0	0	1	3	4	2	3	3	3	4	5	48	0	0	0	0	1	0	0	0	0	0	0	3	2	2	2	2	3	0.9487	101
1	1	2	2	3	0	3	29.3369272418312	0	0	0	1	1	3	4	3	4	0	10	21	26	1	1	1	0	0	0	0	7	2	1	0	2	2	1	4	3	2	1.986	119
0	1	2	1	3	0	.	25.2758527002078	.	0	.	.	2	2	1	2	4	2	8	.	-9	1	.	0	0	0	0	0	6	2	0	0	2	2	4	3	4	2	1.3109	123
0	.	1	2	1	.	0	29.2737374790852	0	0	0	0	3	2	3	4	2	2	11	9	25	1	1	0	0	0	0	0	6	1	0	1	2	2	3	4	3	2	0.2155	107
3	.	.	.	3	3	3	49.5162872547064	0	0	1	1	4	2	3	2	2	1	13	19	46	1	1	1	0	0	0	0	10	3	0	1	2	3	3	3	5	3	0.7467	115
